id,title,label,annotator,Q1.1,Q1.2,Q1.3,Q1.3.1,Q1.4,Q1.5,Q1.6,Q1.7,Q1.7.1,Q1.7.1.2,Q2.8,Q2.9.1,Q2.9.2,Q2.10,Problem
3d1ae696-3a3f-43ab-a4ce-61d337a59d7e,"Strage nel Mediterraneo: barcone si ribalta, morti 43 migranti",Group 2,ChatGPT4AsAnnotator,1,4,['1'],-1,2,3,4,1,-1,-1,3,2,03/07/2021,1,-1
7b64542e-11d0-464d-a060-1145a9d0ad3a,"Il premier libico a Roma, dalla ricostruzione del paese alla gestione dei flussi migratori: i dossier sul tavolo",Group 2,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,[],,3,2,,2,-1
d73018e2-5184-43b7-ba01-e82378666dab,"In Fvg trovata la variante Delta in 25 dei 96 campioni analizzati. Riccardi: “Vaccinarsi è fondamentale""",Group 2,ChatGPT4AsAnnotator,1,4,['1'],-1,2,3,4,1,[],,1,2,12/06/2021,2,-1
1d134854-568a-4590-86b1-64912b3c3e4d,Nuove aggressioni omofobe a Milano: calci e pugni in centro a una coppia di giovani,Group 2,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,2,['3'],LGBTQ,3,2,29/06/2021,1,-1
47970d6e-a9e8-4eba-b589-35dc3158d5b3,"Covid, specializzanda del Policlinico di Bari: «Ho vaccinato il mio papà, paziente fragile»",Group 2,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,[],,1,2,,2,-1
d4271fe2-7141-4158-88ff-47c78609f774,Il countdown: cosa accadrà tra poco a questi televisori,Group 2,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,-1,-1,3,2,20/06/2022,1,-1
48c6fea6-52c1-46e6-b53c-68fbe9d72d4b,Incidente mortale A14 ad Ancona Nord: muore motociclista di 73 anni,Group 1,ChatGPT4AsAnnotator,1,4,['1'],-1,2,3,4,1,[],,3,2,01/07/2021,1,-1
83357b52-7b02-4cf2-8d9d-888dcc85ac0f,IL TAR LAZIO ORDINA AL MINISTERO DELLA SALUTE DI RENDERE PUBBLICI I VERBALI DELLA TASK FORCE SUL COVID,Group 1,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,-1,-1,3,2,22/01/2020,1,-1
3069108e-db2e-49cf-a1d8-80b60a702953,"Tra aperitivi digitali e delivery, la pandemia ha fatto impennare il consumo di alcol a casa: +250% nel 2020",Group 1,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,-1,-1,3,2,2020,1,-1
f449f8f5-f4d6-40f6-a573-89e9837cd6af,Il virus rallenta ancora. Tre regioni in zona bianca,Group 2,ChatGPT4AsAnnotator,1,4,['1'],-1,2,3,4,1,[],,3,2,18/05/2023,2,-1
72ab85c4-04fa-44ed-b4ae-5f570db46aab,"Papa Francesco operato per ""stenosi diverticolare sintomatica del colon"": ""Il vero rischio è l'anestesia""",Group 1,ChatGPT4AsAnnotator,1,4,['1'],-1,2,3,4,1,-1,-1,3,1,-1,2,-1
af6c349c-3ed8-4afb-b31a-411cfd2f212d,"Covid Italia, vaccini: ""Affrettarsi prima dell'inizio della scuola""",Group 2,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,[],-1,3,2,05/07/2021,2,-1
89ca8966-8ade-49fd-a036-c528a1f7871c,Tutti i passi falsi di Davigo: dal caso Palamara ai verbali di Amara,Group 2,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,-1,-1,3,2,23/05/2019,1,-1
4ffee038-00a4-467a-9266-efdd4449502b,"Israele, 2mila razzi lanciati finora da Gaza. Gaffe sull’attacco di terra",Group 1,ChatGPT4AsAnnotator,1,4,['1'],-1,2,3,4,1,-1,-1,3,2,,2,-1
2c2f3cd4-b034-4189-b8ef-213a66fa4b52,"Emergenza covid, sindaca leghista arrestata: aiuti alimentari sottratti alle famiglie bisognose- Corriere.it",Group 1,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,2,"['4', '9']",Immigrants,3,2,03/02/2020,1,-1
9209bc9a-8a2b-4308-8d65-05ab453d308a,Il Papa: la meditazione ed ecco come incontrare Gesù,Group 1,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,[],-1,3,1,-1,1,-1
3b09cd47-b33c-4b83-a07a-c296a878412f,"«Conte, la verità è un’altra: l’Inter non lo voleva più. Pirlo? Anno fallimentare»",Group 2,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,[],-1,3,2,31/05/2021,1,-1
a1d6793c-b05e-4c0b-815a-6c4de3cb37d5,Fino al 12 agosto il certificato vaccinale può sostituire il Green pass,Group 1,ChatGPT4AsAnnotator,1,4,['1'],-1,2,3,4,1,[],,3,2,,2,-1
b5a0389d-fb80-4cc2-ab9c-0d16defe902c,"Mississippi, via la bandiera",Group 2,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,[],,1,2,28/06/2020,2,-1
ecb2d74c-46dc-48fe-948e-a2090a2ffd2e,"Caos M5S, Conte: “Se i parlamentari chiedono lo statuto glielo illustro”. E Crimi sfida Grillo: voto per il direttivo su Sky Vote",Group 1,ChatGPT4AsAnnotator,3,4,['1'],-1,2,3,4,1,-1,-1,1,2,01/07/2021,1,-1
